otel_ad,fiyat,Hava Alanına Uzaklığı,Denize Uzaklığı,İskele,A la Carte Restoran,Asansör,Açık Restoran,Kapalı Restoran,Açık Havuz,Kapalı Havuz,Bedensel Engelli Odası,Bar,Su Kaydırağı,Balo Salonu,Kuaför,Otopark,Market,Sauna,Doktor,Beach Voley,Fitness,Canlı Eğlence,Wireless Internet,Animasyon,Sörf,Paraşüt,Araç Kiralama,Kano,SPA,Masaj,Masa Tenisi,Çocuk Havuzu,Çocuk Parkı,il,ilce
Larissa Inn Hotel,14400.0,55,,0.0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,Antalya , Kemer-Çamyuva 
Artemis Hotel Kaş,13200.0,147,750.0,0.0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Antalya , Kaş 
Club Hotel Barbarossa Kaş,24225.0,92,0.0,1.0,1,1,1,1,2,0,1,3,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,Antalya , Kaş-Çukurbağ Yarımadası 
Saylam Suites,18003.6,154,750.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Antalya , Kaş 
Adora Calma Beach,21937.5,82,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Antalya , Manavgat 
Cappari Aqua Princess Hotel,20971.3,160,0.0,0.0,1,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,Antalya , Kaş-Küçükçakıl Mevkii 
Kamelya Aishen K Club,26733.0,55,0.0,0.0,6,1,9,1,7,2,0,13,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Side-Çolaklı 
Trendy Side Beach,23400.0,65,0.0,0.0,2,1,1,1,1,1,1,2,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,Antalya , Side-Denizbükü 
Galeri Resort Hotel,24112.8,90,0.0,1.0,4,1,1,1,1,1,1,7,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,Antalya , Alanya-Okurcalar 
Haydarpasha Palace,30395.2,65,,1.0,4,1,1,1,3,1,1,7,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,Antalya , Alanya-Türkler 
Hotel Melas Lara,24750.0,12,0.0,0.0,3,1,1,1,1,1,0,2,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,Antalya , Lara-Kundu 
Hotel Terrace Elite Resort,21654.6,52,500.0,0.0,2,1,1,1,1,0,1,3,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,Antalya , Side 
Jacaranda Luxury Hotel,43176.6,65,0.0,0.0,4,0,1,1,6,1,1,5,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Side-Gündoğdu 
Jura Hotels Lara Resort,12750.0,11,750.0,0.0,0,0,1,1,4,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,Antalya , Lara 
Rixos Downtown Antalya,46381.9,18,200.0,0.0,3,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,Antalya , Antalya Merkez 
Robinson Çamyuva,34888.0,60,0.0,1.0,2,0,1,0,1,0,1,4,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,Antalya , Kemer-Çamyuva 
Royal Atlantis Spa Resort,16830.0,50,0.0,0.0,4,1,1,1,2,1,1,7,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,Antalya , Side-Gündoğdu 
Royal Holiday Palace,36270.0,15,0.0,1.0,6,1,1,1,2,1,1,9,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Lara-Kundu 
Royal Seginus Hotel,36270.0,15,200.0,1.0,9,1,1,1,6,1,0,9,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,Antalya , Lara-Kundu 
Royal Wings Hotel,27667.8,15,0.0,1.0,6,1,1,1,4,1,1,10,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Lara-Kundu 
Saphir Hotel,29250.0,110,0.0,1.0,1,1,1,1,2,1,1,3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,Antalya , Alanya-Konaklı 
Saphir Resort Spa,37050.0,90,0.0,0.0,2,1,1,1,2,1,1,5,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,Antalya , Alanya-Okurcalar 
Scylax Family Club,14400.0,130,0.0,0.0,0,0,1,1,1,0,0,3,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,Antalya , Alanya 
Seaden Sea Planet Resort Spa,18144.0,72,0.0,1.0,5,1,1,1,3,2,0,6,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,Antalya , Side-Kızılot 
Seaden Valentine Resort Spa,18792.0,64,100.0,0.0,3,1,1,1,2,1,0,3,0,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,Antalya , Side 
