otel_ad,fiyat,Fiyat Aralığı,Bölge,Hava Alanına Uzaklığı,Denize Uzaklığı,Plaj,İskele,A la Carte Restoran,Asansör,Açık Restoran,Kapalı Restoran,Açık Havuz,Kapalı Havuz,Bedensel Engelli Odası,Bar,Su Kaydırağı,Balo Salonu,Kuaför,Otopark,Market,Sauna,Doktor,Beach Voley,Fitness,Canlı Eğlence,Wireless Internet,Animasyon,Sörf,Paraşüt,Araç Kiralama,Kano,SPA,Masaj,Masa Tenisi,Çocuk Havuzu,Çocuk Parkı
Sirena Apart Spa,"37.843,20 TL",+33000,Antalya - Konyaaltı-Konyaaltı ,"No Info km, No Info",No Info,Halk Plajı,Yok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stile Suite Family Hotel,"10.820,70 TL",9000-11000,Antalya - Konyaaltı ,"12 km, Antalya HA ",600 - 750 Metre Arası,Halk Plajı,Yok,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Şahin Apart Otel,"4.800,00 TL",+33000,Bodrum - Gümbet ,"38 km, Milas ",200 - 300 Metre Arası,Halk Plajı,Yok,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tebriz Apart,"15.795,00 TL",15000-17000,Antalya - Kemer ,"55 km, Antalya ",No Info,Yok,Yok,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Villa Asoa,"14.400,00 TL",13000-15000,Antalya - Kalkan ,"120 km, Dalaman ",750 Metre ve Üzeri,Yok,Yok,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
Mavi Cennet Camping Pansiyon,"12.235,97 TL",11000-13000,Antalya - Side-Kızılot ,"80 km, Antalya ",Denize Sıfır,Özel Plaj,Yok,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11 Oda Boutique Pension ( +12 Oteli ),"5.700,00 TL",5000-7000,Null,Null,Null,Null,Null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aphrodite Hotel,"14.296,32 TL",13000-15000,Antalya - Kaş ,"160 km, Dalaman HA ",No Info,Halk Plajı,Yok,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
Beta Guesthouse,"16.819,20 TL",15000-17000,Antalya - Muratpaşa ,"5 km, Antalya ",200 - 300 Metre Arası,Halk Plajı,Yok,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Deruni Ilıca Otel,"15.000,00 TL",13000-15000,Çeşme - Alaçatı ,"80 km, Adnan Menderes ",600 - 750 Metre Arası,Yok,Yok,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
