"id","otel_ad","fiyat","imageURL","score","fiyat_araligi","bolge","hava_alanina_uzakligi","denize_uzakligi","plaj","iskele","a_la_carte_restoran","asansor","acik_restoran","kapali_restoran","acik_havuz","kapali_havuz","bedensel_engelli_odasi","bar","su_kaydiragi","balo_salonu","kuafor","otopark","market","sauna","doktor","beach_voley","fitness","canli_eglence","wireless_internet","animasyon","sorf","parasut","arac_kiralama","kano","spa","masaj","masa_tenisi","cocuk_havuzu","cocuk_parki"
424,Alaçatı Ala Konak Butik Otel,"14.995,00 TL",https://cdn.tatilsepeti.com/Files/TesisResim/07479/tsr07479637043303730743634.jpg,"","13000-15000",Çeşme - Alaçatı ,"90 km, Adnan Menderes ","750 Metre ve Üzeri",Yok,Yok,"0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
519,Adrasan Eliz Apart Bungalow,"17.500,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/13687/1050X700/tsr13687638405116038817313.jpg,"","17000-19000",Antalya - Adrasan ,"105 km, Antalya ","600 - 750 Metre Arası",Halk Plajı,Yok,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0"
518,Zeniva Hotel,"20.250,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/04522/1050X700/tsr04522637338843748977519.jpg,"8","19000-21000",İzmir - Alsancak ,"18 km, Adnan Menderes HA ","50 Metreye Kadar",Yok,Yok,"1","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
224,Bilem Hotel Beach Spa,"13.500,00 TL",https://cdn.tatilsepeti.com/Files/TesisResim/02196/tsr02196637054467847815816.jpg,"8,9","13000-15000",Antalya - Lara ,"16 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Yok,"0","1","1","1","1","1","1","4","0","0","1","1","0","1","1","0","1","0","1","0","0","0","1","0","1","1","0","1","0"
105,Otel Zeytinada,"17.066,25 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/01686/1050X700/tsr01686638427282073666479.jpg,"8,9","17000-19000",Bodrum - Torba ,"30 km, MilasHA","300 - 400 Metre Arası",Özel Plaj,Var,"0","0","1","1","2","0","0","1","0","0","0","1","1","1","1","0","1","0","1","0","0","0","1","0","0","1","1","1","1"
104,Mysea Hotels İncekum,"7.875,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/06831/1050X700/tsr06831637902087019256376.jpg,"6,9","7000-9000",Antalya - Alanya-Türkler ,"100 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,Yok,"0","1","1","1","1","1","1","2","1","0","1","1","0","1","1","1","1","1","1","1","0","0","0","0","0","1","1","1","1"
108,Taç Premier Hotel Spa,"10.522,20 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/02550/1050X700/tsr02550638459284433642469.jpg,"7,7","9000-11000",Antalya - Alanya ,"120 km, Antalya HA ","50 Metreye Kadar",Özel Plaj,Yok,"0","1","0","1","1","1","0","1","0","0","1","0","1","1","1","1","1","0","1","1","0","1","1","1","1","1","1","1","1"
433,Beta Homes Boutique Hotel,"12.500,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/10281/1050X700/tsr10281637046751727002148.jpg,"","11000-13000",İzmir - Buca ,"7 km, Adnan Menderes ","750 Metre ve Üzeri",Yok,Yok,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
430,Belong Butik Hotel,"9.000,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/13161/1050X700/tsr13161638204574406863602.jpg,"","7000-9000",Çeşme - Dalyan ,"No Info km, No Info",No Info,Halk Plajı,Yok,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
428,Aura Village Alaçatı,"10.157,50 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/13849/1050X700/tsr13849638461172418480622.jpg,"","9000-11000",Çeşme - Alaçatı ,"90 km, Adnan Menderes ","750 Metre ve Üzeri",Yok,Yok,"0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
