otel_ad,fiyat,Fiyat Aralığı,Bölge,Hava Alanına Uzaklığı,Denize Uzaklığı,Plaj,İskele,A la Carte Restoran,Asansör,Açık Restoran,Kapalı Restoran,Açık Havuz,Kapalı Havuz,Bedensel Engelli Odası,Bar,Su Kaydırağı,Balo Salonu,Kuaför,Otopark,Market,Sauna,Doktor,Beach Voley,Fitness,Canlı Eğlence,Wireless Internet,Animasyon,Sörf,Paraşüt,Araç Kiralama,Kano,SPA,Masaj,Masa Tenisi,Çocuk Havuzu,Çocuk Parkı
Museum Resort Spa,"5.292,00 TL",5000-7000,Bodrum - Bodrum Merkez-Azmakbaşı ,"35 km, Milas HA ",750 Metre ve Üzeri,Halk Plajı,Yok,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0
Mysea Hotels Alara,"64.161,91 TL",+33000,Antalya - Alanya-Okurcalar ,"100 km, Antalya HA ",Denize Sıfır,Özel Plaj,Yok,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0
Side Su Hotel,"21.802,50 TL",21000-23000,Antalya - Side ,"60 km, Antalya HA ",200 - 300 Metre Arası,Özel Plaj,Yok,0,1,1,0,3,0,1,3,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0
Flora Bodrum Hotel,"11.700,00 TL",11000-13000,Bodrum - Gümbet ,"35 km, Milas ",50 - 100 Metre Arası,Halk Plajı,Yok,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Malibu Resort Hotel,"7.194,00 TL",7000-9000,Antalya - Kemer-Kiriş ,"70 km, Antalya HA ",300 - 400 Metre Arası,Özel Plaj,Yok,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1
Feniks Hotel +12 Adult Only,"20.412,00 TL",19000-21000,Null,Null,Null,Null,Null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Meridien Bodrum Beach Resort,"42.083,16 TL",+33000,Bodrum - Adabükü ,"15 km, Milas HA ",Denize Sıfır,Özel Plaj,Var,0,1,1,1,1,1,1,4,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1
Rubi Platinum Sign,"45.818,25 TL",+33000,Antalya - Alanya-Türkler ,"104 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Plaj,Var,2,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1
Sentido Lycus Beach,"16.005,84 TL",15000-17000,Antalya - Alanya-Okurcalar ,"No Info km, No Info",Denize Sıfır,Özel Plaj,Yok,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0
Side Square Hotel,"15.321,60 TL",15000-17000,Antalya - Side ,"No Info km, No Info",No Info,Özel Plaj,Yok,0,1,1,1,1,0,0,2,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0
