otel_ad,fiyat,Predicted Price,Price Difference,Fair Price Range,Fair Price Percentage,bar,a_la_carte_restoran,plaj,acik_havuz,kapali_havuz,fitness,iskele,acik_restoran,sauna,animasyon,kuafor,spa,masa_tenisi,market,su_kaydiragi,beach_voley,doktor,otopark,wireless_internet,sorf,kapali_restoran,kano,cocuk_parki,arac_kiralama,balo_salonu,masaj,cocuk_havuzu,parasut,denize_uzakligi
Sea Bird Hotel,5508.0,13147.1,-7639.1,Significantly Overpriced (Underpriced),+ 138.69,2,0,2.0,1,0,1,,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0.0
Suess Alaçatı,15600.0,9177.3,6422.7,Significantly Overpriced,- 41.17,1,1,2.0,1,0,0,,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,750.0
Kalinda Inn Otel,10268.0,11912.4,-1644.4,Overpriced (Underpriced),+ 16.01,1,0,2.0,0,0,0,,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,50.0
Eldar Garden Resort,11169.6,12791.5,-1621.9,Overpriced (Underpriced),+ 14.52,3,0,2.0,1,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,200.0
Club Bella Mare Beach,12900.0,13013.1,-113.1,Fair (Underpriced),+ 0.88,1,1,2.0,1,0,1,,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0.0
Adonis Hotel,22500.0,14818.7,7681.3,Significantly Overpriced,- 34.14,6,1,2.0,1,1,1,,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0.0
Aska Lara Resort Spa,29836.8,15172.7,14664.1,Significantly Overpriced,- 49.15,8,5,2.0,4,2,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,500.0
Blue Marlin Deluxe Spa Resort,13440.0,13758.0,-318.0,Fair (Underpriced),+ 2.37,4,0,2.0,2,1,1,,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,100.0
Bodrum Holiday Resort,10500.0,15712.7,-5212.7,Significantly Overpriced (Underpriced),+ 49.64,6,3,2.0,2,1,1,,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0.0
City Point Beach Spa Hotel,26623.9,13391.0,13232.9,Significantly Overpriced,- 49.7,4,3,-1.0,1,1,1,,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,100.0
Club Grand Aqua,24192.0,13440.6,10751.4,Significantly Overpriced,- 44.44,5,2,2.0,1,1,1,,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,300.0
Club Hotel Turan Prince World,15922.2,16232.3,-310.1,Fair (Underpriced),+ 1.95,7,3,2.0,3,1,1,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0.0
Daima Biz Hotel,16065.0,15308.1,756.9,Fair,- 4.71,6,1,2.0,3,2,1,,2,1,1,0,1,1,1,1,0,1,1,1,0,2,1,1,1,0,1,1,0,0.0
Diamond Beach Hotel,12600.0,15280.9,-2680.9,Significantly Overpriced (Underpriced),+ 21.28,5,2,2.0,3,1,1,,1,1,1,1,1,1,1,1,1,1,0,1,0,2,0,1,1,0,1,1,0,0.0
Green Nature Resort Spa,20563.2,12647.1,7916.1,Significantly Overpriced,- 38.5,5,1,-1.0,3,1,1,,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,400.0
