id,otel_ad,fiyat,imageurl,score,fiyat_araligi,bolge,hava_alanina_uzakligi,denize_uzakligi,plaj,iskele,a_la_carte_restoran,asansor,acik_restoran,kapali_restoran,acik_havuz,kapali_havuz,bedensel_engelli_odasi,bar,su_kaydiragi,balo_salonu,kuafor,otopark,market,sauna,doktor,beach_voley,fitness,canli_eglence,wireless_internet,animasyon,sorf,parasut,arac_kiralama,kano,spa,masaj,masa_tenisi,cocuk_havuzu,cocuk_parki,predicted_price,price_difference,fair_price_range,fair_price_percentage
236,Swissotel Resort Spa Çeşme,"40.600,67 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/13613/1050X700/tsr13613638465276482739941.jpg,,"""+33000""",Çeşme - Ilıca ,"87 km, Adnan Menderes ",Denize Sıfır,Mavi Bayraklı Özel Plaj,1,3,1,0,0,1,1,1,3,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,14226.0,26374.6,Significantly Overpriced,-64.96
117,The X Belek,"19.219,77 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/13057/1050X700/tsr13057638262477272134180.jpg,"8,1","""19000-21000""",Antalya - Belek-Serik ,"27 km, Antalya HA ",750 Metre ve Üzeri,Özel Plaj,0,4,0,1,1,1,1,0,4,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,11714.0,7505.7,Significantly Overpriced,-39.05
727,Mucho Butik Otel,"8.000,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/11221/1050X700/tsr11221638194112063823698.jpg,"7,9","""7000-9000""",Bodrum - Bodrum Merkez ,"20 km, Milas ",300 - 400 Metre Arası,Mavi Bayraklı Özel Plaj,0,1,0,1,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,11390.9,-3390.9,Significantly Overpriced (Underpriced),42.39
202,Green Nature Diamond,"27.072,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/05081/1050X700/tsr05081638503553926467665.jpg,"7,7","""27000-29000""",Marmaris - Siteler ,"90 km, Dalaman HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,0,3,1,1,1,1,1,0,8,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,16096.2,10975.8,Significantly Overpriced,-40.54
436,Lavitas Hotel,"7.140,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/03671/1050X700/tsr03671637800888408064682.jpg,,"""7000-9000""",Antalya - Side-Kumköy ,"65 km, Antalya ",600 - 750 Metre Arası,Özel Plaj,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9143.5,-2003.5,Significantly Overpriced (Underpriced),28.06
728,My Bitez Suites,"14.000,00 TL",https://cdn.tatilsepeti.com/Files/TesisResim/10582/tsr10582637128749348052498.jpg,,"""13000-15000""",Bodrum - Bitez ,"40 km, Milas ",50 Metreye Kadar,Halk Plajı,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,11099.9,2900.1,Significantly Overpriced,-20.72
66,Sensitive Premium Resort Spa,"18.905,92 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/06173/1050X700/tsr06173638360788296634160.jpg,"7,1","""17000-19000""",Antalya - Belek-Boğazkent ,"40 km, Antalya HA ",300 - 400 Metre Arası,Özel Plaj,0,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13386.1,5519.8,Significantly Overpriced,-29.2
437,Lonicera City Kleopatra Hotel,"6.068,70 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/04059/1050X700/tsr04059638245948717842453.jpg,"7,7","""5000-7000""",Antalya - Alanya ,"120 km, Antalya HA ",50 - 100 Metre Arası,Halk Plajı,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,11482.9,-5414.2,Significantly Overpriced (Underpriced),89.22
4,Adin Beach Hotel,"27.600,00 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/03168/1050X700/tsr03168638271874859002487.jpg,"7,6","""27000-29000""",Antalya - Alanya-İncekum ,"105 km, Antalya HA ",Denize Sıfır,Mavi Bayraklı Özel Plaj,1,3,1,1,2,6,2,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,14419.5,13180.5,Significantly Overpriced,-47.76
30,Justiniano Park Conti Club,"20.563,20 TL",https://cdn.tatilsepeti.com/Files/Images/Tesis/00173/1050X700/tsr00173637852210309303664.jpg,"9,3","""19000-21000""",Antalya - Alanya-Okurcalar ,"90 km, Antalya HA ",Denize Sıfır (Aradan Yol Geçiyor),Özel Plaj,1,3,1,0,1,2,1,0,5,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,15295.6,5267.6,Significantly Overpriced,-25.62
