otel_ad,fiyat,Hava Alanına Uzaklığı,Denize Uzaklığı,İskele,A la Carte Restoran,Asansör,Açık Restoran,Kapalı Restoran,Açık Havuz,Kapalı Havuz,Bedensel Engelli Odası,Bar,Su Kaydırağı,Balo Salonu,Kuaför,Otopark,Market,Sauna,Doktor,Beach Voley,Fitness,Canlı Eğlence,Wireless Internet,Animasyon,Sörf,Paraşüt,Araç Kiralama,Kano,SPA,Masaj,Masa Tenisi,Çocuk Havuzu,Çocuk Parkı,il,ilce
Sky Business Hotel,10500.0,9,,0.0,1,1,1,2,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,Antalya , Antalya Merkez 
Sueno Hotels Deluxe Belek,43875.0,30,0.0,1.0,6,1,2,2,1,2,1,6,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,Antalya , Belek 
Sueno Hotels Golf Belek,40500.0,30,300.0,1.0,0,1,2,2,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,Antalya , Belek-Taşlıburun 
Sunis Hotel Su,30375.0,18,0.0,0.0,4,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,Antalya , Konyaaltı-Konyaaltı 
Sunis Kumköy Beach Resort,32400.0,60,0.0,0.0,6,1,1,1,6,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,Antalya , Side-Kumköy 
Swandor Hotels Resort Topkapı Palace,30958.2,16,0.0,1.0,3,0,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,Antalya , Lara-Kundu 
The Raga Side Hotel,17544.9,55,50.0,0.0,1,1,1,1,1,1,0,5,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,Antalya , Side-Manavgat 
Throne Beach Resort Spa,14805.0,80,100.0,0.0,2,1,1,1,1,1,0,3,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,Antalya , Manavgat 
Adrasan Beach Club Hotel,6480.0,120,100.0,0.0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,Antalya , Adrasan 
Ag Hotels Antalya,11059.6,6,750.0,0.0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Antalya , Antalya Merkez-Muratpaşa 
Alexius Beach Hotel,9621.1,40,,0.0,0,0,1,1,1,0,0,2,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,Antalya , Kemer-Beldibi 
Aqı Hydros Club,16891.2,65,0.0,1.0,3,1,0,1,2,1,0,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,Antalya , Kemer-Merkez 
Merve Sun Hotel,10005.8,65,300.0,0.0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Side 
Nashira City Resort Hotel,20748.1,18,750.0,0.0,1,1,1,1,1,0,0,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,Antalya , Antalya Merkez 
Olbia Hotel,9475.2,20,,0.0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,Antalya , Konyaaltı 
Optimum Luxury Hotel,19844.8,10,500.0,0.0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,Antalya , Lara 
Royal Atlantis Beach,28635.4,50,0.0,0.0,2,1,1,1,2,1,1,4,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,Antalya , Side-Çolaklı 
Seher Kumköy Star Resort Spa,18720.0,60,0.0,0.0,2,0,1,1,1,1,0,5,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,Antalya , Side-Manavgat 
Golden Lotus Hotel,16672.5,55,0.0,1.0,0,0,1,1,1,1,1,3,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,Antalya , Kemer-Merkez 
Green Garden Suites,35700.0,39,200.0,0.0,1,1,1,1,1,0,0,2,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,Antalya , Alanya-Obagöl 
